Date,Open,High,Low,Close,Volume
2019-11-15,11879.2,11973.65,11802.65,11895.45,2347660000.0
2019-11-22,11915.15,12038.6,11867.6,11914.4,2819430000.0
2019-11-29,11922.45,12158.8,11919.75,12056.05,3743430000.0
2019-12-06,12137.05,12137.15,11888.85,11921.5,3245380000.0
2019-12-13,11939.1,12098.85,11832.3,12086.7,3597320000.0
2019-12-20,12131.35,12293.9,12046.3,12271.8,2889880000.0
2019-12-27,12235.45,12287.15,12118.85,12245.8,1979190000.0
2020-01-03,12274.9,12289.9,12151.8,12226.65,1978560000.0
2020-01-10,12170.6,12311.2,11929.6,12256.8,2428410000.0
2020-01-17,12296.7,12389.05,12278.75,12352.35,2699310000.0
2020-01-24,12430.5,12430.5,12087.9,12248.25,2922780000.0
2020-01-31,12197.1,12216.6,11945.85,11962.1,2743420000.0
2020-02-07,11939.0,12160.6,11614.5,12098.35,3564510000.0
2020-02-14,12102.35,12246.7,11990.75,12113.45,2540390000.0
2020-02-21,12131.8,12159.6,11908.05,12080.85,2148210000.0
2020-02-28,12012.55,12012.55,11175.05,11201.75,2937940000.0
2020-03-06,11387.35,11433.0,10827.4,10989.45,5334970000.0
2020-03-13,10742.05,10751.55,8555.15,9955.2,5520000000.0
2020-03-20,9587.8,9602.2,7832.55,8745.45,5349070000.0
2020-03-27,7945.7,9038.9,7511.1,8660.25,3795880000.0
2020-04-03,8385.95,8678.3,8055.8,8083.8,2509280000.0
2020-04-10,8446.3,9131.7,8360.95,9111.9,2452840000.0
2020-04-17,9103.95,9324.0,8821.9,9266.75,2926760000.0
2020-04-24,9390.2,9390.85,8909.4,9154.4,3441950000.0
2020-05-01,9259.7,9889.05,9250.35,9859.9,2711540000.0
2020-05-08,9533.5,9533.5,9116.5,9251.5,3452670000.0
2020-05-15,9348.15,9584.5,9043.95,9136.85,3534930000.0
2020-05-22,9158.3,9178.55,8806.75,9039.25,3464740000.0
2020-05-29,9099.75,9598.85,8996.65,9580.3,3223360000.0
2020-06-05,9726.85,10177.8,9706.95,10142.15,4121260000.0
2020-06-12,10326.75,10328.5,9544.35,9972.9,3834850000.0
2020-06-19,9919.35,10272.4,9726.35,10244.4,3816360000.0
2020-06-26,10318.75,10553.15,10194.5,10383.0,3875490000.0
2020-07-03,10311.95,10631.3,10223.6,10607.35,2826940000.0
2020-07-10,10723.85,10847.85,10676.55,10768.05,3185270000.0
2020-07-17,10851.85,10933.45,10562.9,10901.7,3173600000.0
2020-07-24,10999.45,11239.8,10953.0,11194.15,3391880000.0
2020-07-31,11225.0,11341.4,11026.65,11073.45,3193090000.0
2020-08-07,11057.55,11256.8,10882.25,11214.05,3027310000.0
2020-08-14,11270.25,11373.6,11111.45,11178.4,2895410000.0
2020-08-21,11248.9,11460.35,11144.5,11371.6,3299730000.0
2020-08-28,11412.0,11686.05,11410.65,11647.6,3441270000.0
2020-09-04,11777.55,11794.25,11303.65,11333.85,4035720000.0
2020-09-11,11359.6,11493.5,11185.15,11464.45,3095650000.0
2020-09-18,11540.15,11618.1,11383.55,11504.95,2958620000.0
2020-09-25,11503.8,11535.25,10790.2,11050.25,3255770000.0
2020-10-02,11140.85,11428.6,11099.85,11416.95,1918160000.0
2020-10-09,11487.8,11938.6,11452.3,11914.2,2825260000.0
2020-10-16,11973.55,12025.45,11661.3,11762.45,2714800000.0
2020-10-23,11879.2,12018.65,11775.75,11930.35,2665880000.0
2020-10-30,11937.4,11942.85,11535.45,11642.4,2948790000.0
